asset_code,filename,flutter_asset_path,format,size_bytes,triangle_count,mesh_count,material_count,texture_image_count,animation_clips,key_nodes,all_node_count,alpha_used,pivot_ok,scale_ok,renderer_test,status,notes
mejalab,MejaLab.glb,assets/ar_models/Meja/MejaLab.glb,GLB,22416,374,1,3,0,,Cube.001,1,no,unknown,unknown,plugin+fallback3d,ready,no animation clips; nodes mostly Blender defaults (Cube/Sphere)
tempatuji,TempatUji.glb,assets/ar_models/Meja/TempatUji.glb,GLB,31148,1216,1,1,0,,Cube.002,1,yes,unknown,unknown,plugin+fallback3d,ready,no animation clips; nodes mostly Blender defaults (Cube/Sphere)
rantaiprotein,RantaiProtein.glb,assets/ar_models/SelHewan/RantaiProtein/RantaiProtein.glb,GLB,3648744,122256,156,3,0,,NurbsPath|NurbsPath.001|Cube.063|Cube.064|Cube.065|Cube.066|Cube.067|Cube.068|Cube.069|Cube.070|Cube.071|Cube.072|Cube.073|Cube.074|Cube.075,166,no,unknown,unknown,plugin+fallback3d,ready,no animation clips; nodes mostly Blender defaults (Cube/Sphere)
selhewanbroken_plus_meja,SelHewanBroken+Meja.glb,assets/ar_models/SelHewan/SelHewanBroken+Meja.glb,GLB,1549004,62334,3,17,0,,Cube.001|Cube.002|Cube.213,3,yes,unknown,unknown,plugin+fallback3d,fix,filename spaces/+ — avoid in Model Viewer URL; no animation clips; nodes mostly Blender defaults (Cube/Sphere)
selhewanbroken,SelHewanBroken.glb,assets/ar_models/SelHewan/SelHewanBroken.glb,GLB,1295868,59304,105,13,0,,Plane.007|Plane.008|Plane.009|Plane.010|Plane.011|Plane.013|Plane.014|Plane.015|Plane.016|Plane.017|Plane.018|Plane.019|Plane.020|Plane.021|Plane.022,150,yes,unknown,unknown,plugin+fallback3d,ready,no animation clips
dindingsel,DindingSel.glb,assets/ar_models/SelTumbuhan/DindingSel.glb,GLB,9744,200,1,1,0,,DindingSel|DindingSel.001|DindingSel.002,3,no,unknown,unknown,plugin+fallback3d,ready,no animation clips
kloroplas,Kloroplas.glb,assets/ar_models/SelTumbuhan/Kloroplas.glb,GLB,4038556,151056,45,4,0,,Cube.022|Cube.023|Cube.024|Cube.025|Cube.026|Cube.027|Cube.028|Cube.029|Cube.030|Cube.031|Cube.032|Cube.033|Cube.034|Cube.035|Cube.036,1404,yes,unknown,unknown,plugin+fallback3d,ready,no animation clips; nodes mostly Blender defaults (Cube/Sphere)
mitokondria,Mitokondria.glb,assets/ar_models/SelTumbuhan/Mitokondria.glb,GLB,555768,18144,21,1,0,,Cube.018|Cube.016|Cube.019|Cube.020|Cube.069|Cube.080|Cube.082|Cube.1549|Cube.1550|Cube.1551|Cube.1552|Cube.1553|Cube.1554|Cube.1555|Cube.2026,21,yes,unknown,unknown,plugin+fallback3d,ready,no animation clips; nodes mostly Blender defaults (Cube/Sphere)
nukleus,Nukleus.glb,assets/ar_models/SelTumbuhan/Nukleus.glb,GLB,3101792,110832,19,2,0,,Sphere.014|Sphere.015|Sphere.016|Sphere.017|Sphere.018|Sphere.019|Sphere.020|Sphere.076|Sphere.077|Sphere.078|Sphere.079|Sphere.080|Sphere.081|Sphere.082|Sphere.097,21,yes,unknown,unknown,plugin+fallback3d,ready,no animation clips; nodes mostly Blender defaults (Cube/Sphere)
seltumbuhanrework_all_plus_meja,SelTumbuhanRework_All+Meja.glb,assets/ar_models/SelTumbuhan/SelTumbuhanRework_All+Meja.glb,GLB,17577024,516354,3,15,0,,DindingSel,3,yes,unknown,unknown,plugin+fallback3d,fix,size>8MB — preload hati-hati; filename spaces/+ — avoid in Model Viewer URL; high tris (516354); no animation clips
seltumbuhanrework_allinone,SelTumbuhanRework_AllInOne.glb,assets/ar_models/SelTumbuhan/SelTumbuhanRework_AllInOne.glb,GLB,7962284,287652,90,11,0,,DindingSel|Vakuola Main|DindingSel.001|Vakuola Main.001|DindingSel.002|Vakuola Main.002,1500,yes,unknown,unknown,plugin+fallback3d,fix,high tris (287652); no animation clips
